subject,metric,roi,mean,sd,nvox
M87124808,MD,JHU_UF_R,0.000622,0.000109,2469
M87124808,RD,JHU_UF_R,0.000417,0.000126,2469
M87124808,L1,JHU_UF_L,0.001148,0.000119,2515
M87124808,MD,JHU_UF_L,0.000695,0.000093,2515
M87124808,RD,JHU_UF_L,0.000469,0.000101,2515
M87124846,L1,JHU_CgC_L,0.001152,0.000113,2228
M87124846,MD,JHU_CgC_L,0.000724,0.000071,2228
M87124846,RD,JHU_CgC_L,0.000510,0.000091,2228
M87124846,L1,JHU_CgC_R,0.001091,0.000126,2231
M87124846,MD,JHU_CgC_R,0.000723,0.000075,2231
M87124846,RD,JHU_CgC_R,0.000538,0.000097,2231
M87124846,L1,JHU_UF_R,0.001056,0.000117,2469
M87124846,MD,JHU_UF_R,0.000623,0.000087,2469
M87124846,RD,JHU_UF_R,0.000406,0.000105,2469
M87124846,L1,JHU_UF_L,0.001126,0.000112,2515
M87124846,MD,JHU_UF_L,0.000677,0.000087,2515
M87124846,RD,JHU_UF_L,0.000452,0.000098,2515
M87125151,L1,JHU_CgC_L,0.001179,0.000208,2228
M87125151,MD,JHU_CgC_L,0.000775,0.000158,2228
M87125151,RD,JHU_CgC_L,0.000573,0.000148,2228
M87125151,L1,JHU_CgC_R,0.001085,0.000190,2231
M87125151,MD,JHU_CgC_R,0.000735,0.000153,2231
M87125151,RD,JHU_CgC_R,0.000560,0.000151,2231
M87125151,L1,JHU_UF_R,0.000954,0.000121,2469
M87125151,MD,JHU_UF_R,0.000591,0.000070,2469
M87125151,RD,JHU_UF_R,0.000409,0.000081,2469
M87125151,L1,JHU_UF_L,0.001071,0.000109,2515
M87125151,MD,JHU_UF_L,0.000666,0.000074,2515
M87125151,RD,JHU_UF_L,0.000464,0.000082,2515
M87125273,L1,JHU_CgC_L,0.001211,0.000170,2228
M87125273,MD,JHU_CgC_L,0.000763,0.000140,2228
M87125273,RD,JHU_CgC_L,0.000539,0.000147,2228
M87125273,L1,JHU_CgC_R,0.001190,0.000241,2231
M87125273,MD,JHU_CgC_R,0.000789,0.000218,2231
M87125273,RD,JHU_CgC_R,0.000588,0.000222,2231
M87125273,L1,JHU_UF_R,0.001031,0.000100,2469
M87125273,MD,JHU_UF_R,0.000612,0.000062,2469
M87125273,RD,JHU_UF_R,0.000403,0.000074,2469
M87125273,L1,JHU_UF_L,0.001039,0.000123,2515
M87125273,MD,JHU_UF_L,0.000645,0.000079,2515
M87125273,RD,JHU_UF_L,0.000448,0.000075,2515
M87125899,L1,JHU_CgC_L,0.001127,0.000136,2228
M87125899,MD,JHU_CgC_L,0.000756,0.000111,2228
M87125899,RD,JHU_CgC_L,0.000571,0.000119,2228
M87125899,L1,JHU_CgC_R,0.001065,0.000206,2231
M87125899,MD,JHU_CgC_R,0.000723,0.000172,2231
